Comparing "summit_gnu_cmake_32node_6ppn_6gpn_box-s2v96w32x560y32z24_s2v4w8x1y1z3_bk1_cuth-pop-20200624-ht/20200715_161030/stdout.txt.xz" and "summit_gnu_gmake_32node_42ppn_0gpn_box-s2v96w32x560y32z24_s2v4w8x7y1z3_bk0_master-202006pop-ht2/20200731_143800/stdout.txt.xz"
Name                             # Calls             Time              % t_loop       % parent    
        eRK_stage_3                   95       0      6.30     0.00     21.0     0.0   24.9   0.0
        eRK_stage_4                   95       0      6.26     0.00     20.9     0.0   24.8   0.0
        f_to_GPU                     380       0      0.09     0.00      0.3     0.0    0.4   0.0
        g_to_GPU                     760       0      0.11     0.00      0.4     0.0    0.5   0.0
        h_to_GPU                     380       0      0.09     0.00      0.3     0.0    0.4   0.0
        rhs_to_GPU                   380       0      0.06     0.00      0.2     0.0    0.2   0.0
        rkupd                        285       0      0.38     0.00      1.3     0.0    1.5   0.0
      diag_exec                      100     100      2.08     3.17      7.0     1.2    7.0   1.2
        calcaux                       10      10      0.31     1.47      1.0     0.6   14.8  46.5
          bar_emf                     10      10      0.02     0.17      0.1     0.1    6.1  11.7
            ex_z                      10       0      0.01     0.00      0.0     0.0   73.7   0.0
            exz                        0      40      0.00     0.03      0.0     0.0    0.0  18.6
              ex_gen                   0      40      0.00     0.03      0.0     0.0    0.0 100.0
          calc_df1                    10      10      0.08     0.42      0.3     0.2   24.6  28.7
            ex_v                      10      10      0.03     0.07      0.1     0.0   40.8  16.1
              ex_gen                   0      40      0.00     0.07      0.0     0.0    0.0 100.0
            ex_z                      10       0      0.04     0.00      0.1     0.0   50.0   0.0
            exz                        0      40      0.00     0.17      0.0     0.1    0.0  41.0
              ex_gen                   0      40      0.00     0.15      0.0     0.1    0.0  87.9
          ccdens                      10      10      0.17     0.58      0.6     0.2   55.3  39.5
            calc_moments               0      10      0.00     0.24      0.0     0.1    0.0  41.1
            sum_vwsp                  10      10      0.16     0.34      0.5     0.1   92.4  58.7
          f_to_GPU                    10       0      0.00     0.00      0.0     0.0    1.0   0.0
          fldsolve                    10      10      0.04     0.30      0.1     0.1   12.6  20.1
            fldgathi                  20       0      0.00     0.00      0.0     0.0   10.3   0.0
            fldgathw                  10       0      0.02     0.00      0.1     0.0   56.4   0.0
        d_nrg                         10      10      1.67     1.62      5.6     0.6   80.2  51.2
          calc_moments                 0      10      0.00     0.73      0.0     0.3    0.0  45.2
      ts1                              1       1      1.51     2.51      5.0     1.0    5.0   1.0
        RK_standard                    1       1      1.51     2.51      5.0     1.0  100.0 100.0
          CalFRhs0                     4       4      1.18     1.70      3.9     0.7   77.9  67.4
            add_nl                     4      96      0.49     0.97      1.6     0.4   41.6  57.0
              calc_nl                  4      96      0.47     0.94      1.6     0.4   95.3  97.5
                mult_pre               0      96      0.00     0.04      0.0     0.0    0.0   3.7
                omultmax               0     768      0.00     0.01      0.0     0.0    0.0   1.3
            dApardt                    4      96      0.00     0.00      0.0     0.0    0.0   0.0
            dchidxy                    4      96      0.07     0.11      0.2     0.0    5.5   6.3
            dfdxy_h                    4      96      0.00     0.06      0.0     0.0    0.3   3.5
            dgdxy                      4      96      0.24     0.14      0.8     0.1   20.7   8.1
            dzv_ak                     4      96      0.08     0.20      0.3     0.1    6.6  11.5
            fdi_fld                    4      96      0.00     0.00      0.0     0.0    0.0   0.0
            fdi_g                      4      96      0.00     0.00      0.0     0.0    0.0   0.0
            fdi_h                      4      96      0.00     0.00      0.0     0.0    0.0   0.0
            ffld_nl                    4      96      0.00     0.00      0.0     0.0    0.0   0.0
            fg_nl                      4      96      0.00     0.00      0.0     0.0    0.0   0.0
            hypz_cmp                   4      96      0.01     0.07      0.0     0.0    0.9   4.4
            kBuffer                    4      96      0.00     0.02      0.0     0.0    0.3   1.1
            pfld_nl                    4      96      0.00     0.00      0.0     0.0    0.0   0.0
            pr_fld                     4       4      0.00     0.00      0.0     0.0    0.0   0.0
            pr_g                       4       4      0.00     0.00      0.0     0.0    0.0   0.0
            pr_hf                      4       4      0.00     0.00      0.0     0.0    0.0   0.0
            prdi_fld                   4      96      0.07     0.04      0.2     0.0    5.5   2.7
              ex_x                     4      96      0.00     0.01      0.0     0.0    0.0  26.7
                ex_gen                 4      96      0.00     0.01      0.0     0.0    0.0 100.0
            prdi_g                     4      96      0.12     0.04      0.4     0.0   10.5   2.5
              blex_g                   4      96      0.12     0.04      0.4     0.0  100.0 100.0
                ex_x                   4      96      0.00     0.01      0.0     0.0    0.0  21.4
                  ex_gen               4      96      0.00     0.01      0.0     0.0    0.0 100.0
            prdi_h                     4      96      0.10     0.05      0.3     0.0    8.4   2.8
              blex_g                   4      96      0.10     0.05      0.3     0.0  100.0 100.0
                ex_x                   4      96      0.00     0.02      0.0     0.0    1.0  33.3
                  ex_gen               4      96      0.00     0.02      0.0     0.0    0.0 100.0
            prg_nl                     4      96      0.00     0.00      0.0     0.0    0.0   0.0
          add_ks                       4       0      0.00     0.00      0.0     0.0    0.3   0.0
          calcaux                      4       4      0.24     0.68      0.8     0.3   15.9  27.1
            bar_emf                    4       4      0.03     0.06      0.1     0.0   10.8   9.4
              ex_z                     4       0      0.02     0.00      0.1     0.0   92.3   0.0
              exz                      0      16      0.00     0.01      0.0     0.0    0.0  12.5
                ex_gen                 0      16      0.00     0.01      0.0     0.0    0.0 100.0
            calc_df1                   4       4      0.06     0.17      0.2     0.1   22.9  24.8
              ex_v                     4       4      0.02     0.03      0.1     0.0   36.4  16.0
                ex_gen                 0      16      0.00     0.03      0.0     0.0    0.0 100.0
              ex_z                     4       0      0.03     0.00      0.1     0.0   56.4   0.0
              exz                      0      16      0.00     0.07      0.0     0.0    0.0  40.8
                ex_gen                 0      16      0.00     0.06      0.0     0.0    0.0  88.4
            ccdens                     4       4      0.07     0.18      0.2     0.1   28.7  26.7
              calc_moments             0       4      0.00     0.10      0.0     0.0    0.0  53.8
              sum_vwsp                 4       4      0.06     0.08      0.2     0.0   84.1  46.2
            f_to_GPU                   4       0      0.00     0.00      0.0     0.0    0.0   0.0
            fldsolve                   4       4      0.02     0.12      0.1     0.0    7.1  17.6
              fldgathi                 8       0      0.00     0.00      0.0     0.0   11.8   0.0
              fldgathw                 4       0      0.01     0.00      0.0     0.0   47.1   0.0
            h_from_f                   4       4      0.08     0.15      0.3     0.1   31.7  21.4
              exz                      0      16      0.00     0.00      0.0     0.0    0.0   2.1
                ex_gen                 0      16      0.00     0.00      0.0     0.0    0.0 100.0
          eRK_stage_1                  1       0      1.08     0.00      3.6     0.0   71.3   0.0
          eRK_stage_2                  1       0      0.29     0.00      1.0     0.0   19.5   0.0
          eRK_stage_3                  1       0      0.07     0.00      0.2     0.0    4.6   0.0
          eRK_stage_4                  1       0      0.07     0.00      0.2     0.0    4.5   0.0
          f_to_GPU                     4       0      0.00     0.00      0.0     0.0    0.0   0.0
          g_to_GPU                     8       0      0.00     0.00      0.0     0.0    0.0   0.0
          h_to_GPU                     4       0      0.06     0.00      0.2     0.0    3.7   0.0
          rhs_to_GPU                   4       0      0.00     0.00      0.0     0.0    0.0   0.0
          rkupd                        3       0      0.03     0.00      0.1     0.0    1.9   0.0
      ts2to5                           4       4      1.07    10.06      3.6     3.9    3.6   3.9
        RK_standard                    4       4      1.07    10.06      3.6     3.9  100.0 100.0
          CalFRhs0                    16      16      0.54     6.73      1.8     2.6   50.7  66.9
            add_nl                    16     384      0.37     3.86      1.2     1.5   69.0  57.3
              calc_nl                 16     384      0.33     3.77      1.1     1.5   87.2  97.7
                mult_pre               0     384      0.00     0.12      0.0     0.0    0.0   3.3
                omultmax               0    3072      0.00     0.05      0.0     0.0    0.0   1.4
            dApardt                   16     384      0.00     0.00      0.0     0.0    0.0   0.0
            dchidxy                   16     384      0.04     0.43      0.1     0.2    6.6   6.4
            dfdxy_h                   16     384      0.01     0.24      0.0     0.1    2.2   3.5
            dgdxy                     16     384      0.04     0.54      0.1     0.2    6.6   8.1
            dzv_ak                    16     384      0.02     0.75      0.1     0.3    4.4  11.2
            fdi_fld                   16     384      0.00     0.00      0.0     0.0    0.0   0.0
            fdi_g                     16     384      0.00     0.00      0.0     0.0    0.0   0.0
            fdi_h                     16     384      0.00     0.00      0.0     0.0    0.0   0.0
            ffld_nl                   16     384      0.00     0.00      0.0     0.0    0.0   0.0
            fg_nl                     16     384      0.00     0.00      0.0     0.0    0.0   0.0
            hypz_cmp                  16     384      0.01     0.30      0.0     0.1    2.2   4.4
            kBuffer                   16     384      0.01     0.08      0.0     0.0    2.2   1.2
            pfld_nl                   16     384      0.00     0.00      0.0     0.0    0.0   0.0
            pr_fld                    16      16      0.00     0.00      0.0     0.0    0.0   0.0
            pr_g                      16      16      0.00     0.00      0.0     0.0    0.0   0.0
            pr_hf                     16      16      0.00     0.00      0.0     0.0    0.0   0.0
            prdi_fld                  16     384      0.02     0.17      0.1     0.1    3.0   2.6
              ex_x                    16     384      0.00     0.05      0.0     0.0    0.0  26.6
                ex_gen                16     384      0.00     0.04      0.0     0.0    0.0  97.8
            prdi_g                    16     384      0.01     0.17      0.0     0.1    2.2   2.5
              blex_g                  16     384      0.01     0.17      0.0     0.1  100.0 100.0
                ex_x                  16     384      0.00     0.04      0.0     0.0    0.0  22.8
                  ex_gen              16     384      0.00     0.04      0.0     0.0    0.0 100.0
            prdi_h                    16     384      0.01     0.19      0.0     0.1    2.2   2.8
              blex_g                  16     384      0.01     0.19      0.0     0.1  100.0 100.0
                ex_x                  16     384      0.00     0.07      0.0     0.0    0.0  34.9
                  ex_gen              16     384      0.00     0.06      0.0     0.0    0.0  98.5
            prg_nl                    16     384      0.00     0.00      0.0     0.0    0.0   0.0
          add_ks                      16       0      0.01     0.00      0.0     0.0    1.1   0.0
          calcaux                     16      16      0.48     2.79      1.6     1.1   45.3  27.7
            bar_emf                   16      16      0.02     0.25      0.1     0.1    5.0   9.0
              ex_z                    16       0      0.01     0.00      0.1     0.0   62.5   0.0
              exz                      0      64      0.00     0.03      0.0     0.0    0.0  10.4
                ex_gen                 0      64      0.00     0.03      0.0     0.0    0.0  96.2
            calc_df1                  16      16      0.12     0.67      0.4     0.3   25.4  24.1
              ex_v                    16      16      0.05     0.10      0.2     0.0   39.8  15.2
                ex_gen                 0      64      0.00     0.10      0.0     0.0    0.0 100.0
              ex_z                    16       0      0.06     0.00      0.2     0.0   48.8   0.0
              exz                      0      64      0.00     0.28      0.0     0.1    0.0  41.4
                ex_gen                 0      64      0.00     0.24      0.0     0.1    0.0  87.8
            ccdens                    16      16      0.24     0.81      0.8     0.3   50.6  29.0
              calc_moments             0      16      0.00     0.39      0.0     0.2    0.0  47.7
              sum_vwsp                16      16      0.23     0.42      0.8     0.2   91.8  51.9
            f_to_GPU                  16       0      0.00     0.00      0.0     0.0    0.8   0.0
            fldsolve                  16      16      0.06     0.48      0.2     0.2   12.8  17.1
              fldgathi                32       0      0.01     0.00      0.0     0.0   12.9   0.0
              fldgathw                16       0      0.03     0.00      0.1     0.0   54.8   0.0
            h_from_f                  16      16      0.02     0.58      0.1     0.2    5.0  20.8
              exz                      0      64      0.00     0.01      0.0     0.0    0.0   1.4
                ex_gen                 0      64      0.00     0.01      0.0     0.0    0.0  87.5
          eRK_stage_1                  4       0      0.31     0.00      1.0     0.0   29.0   0.0
          eRK_stage_2                  4       0      0.23     0.00      0.8     0.0   21.5   0.0
          eRK_stage_3                  4       0      0.26     0.00      0.9     0.0   24.5   0.0
          eRK_stage_4                  4       0      0.26     0.00      0.9     0.0   24.7   0.0
          f_to_GPU                    16       0      0.00     0.00      0.0     0.0    0.4   0.0
          g_to_GPU                    32       0      0.00     0.00      0.0     0.0    0.4   0.0
          h_to_GPU                    16       0      0.00     0.00      0.0     0.0    0.4   0.0
          rhs_to_GPU                  16       0      0.00     0.00      0.0     0.0    0.4   0.0
          rkupd                       12       0      0.01     0.00      0.1     0.0    1.4   0.0
    timeloop                           1       1     29.94   255.01    100.0   100.0    4.9  15.9
Comparing:  cuth-pop-20200624-ht:32 master-202006pop-ht2:32
== ts1   ==
           : 24-ht:32       p-ht2:32
ts_avg     :    0.299    2.550 (0.1)
RK_standard:    1.509    2.514 (0.6)
CalFRhs0   :    1.176    1.695 (0.7)
calcaux    :    0.240    0.681 (0.4)

== ts2to5 ==
           : 24-ht:32       p-ht2:32
ts_avg     :    0.299    2.550 (0.1)
RK_standard:    1.069   10.057 (0.1)
CalFRhs0   :    0.542    6.729 (0.1)
calcaux    :    0.484    2.786 (0.2)

== ts6+  ==
           : 24-ht:32       p-ht2:32
ts_avg     :    0.299    2.550 (0.1)
RK_standard:   25.275  239.233 (0.1)
CalFRhs0   :   12.554  159.666 (0.1)
calcaux    :   11.677   66.732 (0.2)
