Comparing "summit_gnu_cmake_128node_6ppn_6gpn_box-s2v96w64x1120y32z24_s2v4w32x1y1z3_bk1_cuth-pop-20200624-ht/20200716_171649/stdout.txt.xz" and "summit_gnu_gmake_128node_42ppn_0gpn_box-s2v96w64x1120y32z24_s2v4w32x7y1z3_bk0_master-202006pop-ht/20200715_165112/stdout.txt.xz"
Name                             # Calls             Time              % t_loop       % parent    
          fg_nl                      380   18240      0.00     0.00      0.0     0.0    0.0   0.0
          hypz_cmp                   380   18240      0.31     7.06      0.2     2.6    2.4   4.4
          kBuffer                    380   18240      0.31     1.76      0.2     0.7    2.3   1.1
          pfld_nl                    380   18240      0.00     0.00      0.0     0.0    0.0   0.0
          pr_fld                     380     380      0.00     0.00      0.0     0.0    0.0   0.0
          pr_g                       380     380      0.00     0.00      0.0     0.0    0.0   0.0
          pr_hf                      380     380      0.00     0.00      0.0     0.0    0.0   0.0
          prdi_fld                   380   18240      0.33     4.82      0.2     1.8    2.5   3.0
            ex_x                     380   18240      0.03     1.19      0.0     0.4    8.4  24.6
              ex_gen                 380   18240      0.00     1.15      0.0     0.4    0.0  96.7
          prdi_g                     380   18240      0.24     3.13      0.2     1.2    1.8   2.0
            blex_g                   380   18240      0.24     3.12      0.2     1.2  100.0  99.6
              ex_x                   380   18240      0.03     0.52      0.0     0.2   11.6  16.8
                ex_gen               380   18240      0.00     0.48      0.0     0.2    0.0  91.4
          prdi_h                     380   18240      0.25     3.74      0.2     1.4    1.9   2.3
            blex_g                   380   18240      0.24     3.73      0.2     1.4   99.6  99.7
              ex_x                   380   18240      0.03     1.61      0.0     0.6   11.4  43.2
                ex_gen               380   18240      0.00     1.57      0.0     0.6    0.0  97.5
          prg_nl                     380   18240      0.00     0.00      0.0     0.0    0.0   0.0
        add_ks                       380       0      0.30     0.00      0.2     0.0    0.8   0.0
        calcaux                      380     380     25.51    80.62     17.8    29.8   64.4  31.9
          bar_emf                    380     380      0.61     5.21      0.4     1.9    2.4   6.5
            ex_z                     380       0      0.43     0.00      0.3     0.0   70.2   0.0
            exz                        0     760      0.00     1.38      0.0     0.5    0.0  26.4
              ex_gen                   0     760      0.00     1.36      0.0     0.5    0.0  98.9
          calc_df1                   380     380      3.07    18.16      2.1     6.7   12.0  22.5
            ex_v                     380     380      1.31     3.04      0.9     1.1   42.6  16.7
              ex_gen                   0     760      0.00     3.04      0.0     1.1    0.0 100.0
            ex_z                     380       0      1.45     0.00      1.0     0.0   47.2   0.0
            exz                        0     380      0.00     8.98      0.0     3.3    0.0  49.5
              ex_gen                   0     380      0.00     8.24      0.0     3.0    0.0  91.8
          ccdens                     380     380     17.76    23.43     12.4     8.7   69.6  29.1
            calc_moments               0     380      0.00     7.50      0.0     2.8    0.0  32.0
            sum_vwsp                 380     380     17.27    15.79     12.1     5.8   97.3  67.4
          f_to_GPU                   380       0      0.10     0.00      0.1     0.0    0.4   0.0
          fldsolve                   380     380      3.35    21.64      2.3     8.0   13.1  26.8
            fldgathi                 760       0      0.14     0.00      0.1     0.0    4.1   0.0
            fldgathw                 380       0      2.33     0.00      1.6     0.0   69.6   0.0
          h_from_f                   380     380      0.61    12.16      0.4     4.5    2.4  15.1
