Task 1035 ( 1035/3072, 3/6 ) is bound to cpu[s] 88 on host e28n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1036 ( 1036/3072, 4/6 ) is bound to cpu[s] 92 on host e28n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1037 ( 1037/3072, 5/6 ) is bound to cpu[s] 96 on host e28n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1038 ( 1038/3072, 0/6 ) is bound to cpu[s] 0 on host e28n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1039 ( 1039/3072, 1/6 ) is bound to cpu[s] 4 on host e28n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 104 ( 104/3072, 2/6 ) is bound to cpu[s] 8 on host e08n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1040 ( 1040/3072, 2/6 ) is bound to cpu[s] 8 on host e28n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1041 ( 1041/3072, 3/6 ) is bound to cpu[s] 88 on host e28n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1042 ( 1042/3072, 4/6 ) is bound to cpu[s] 92 on host e28n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1043 ( 1043/3072, 5/6 ) is bound to cpu[s] 96 on host e28n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1044 ( 1044/3072, 0/6 ) is bound to cpu[s] 0 on host e28n06 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1045 ( 1045/3072, 1/6 ) is bound to cpu[s] 4 on host e28n06 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1046 ( 1046/3072, 2/6 ) is bound to cpu[s] 8 on host e28n06 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1047 ( 1047/3072, 3/6 ) is bound to cpu[s] 88 on host e28n06 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1048 ( 1048/3072, 4/6 ) is bound to cpu[s] 92 on host e28n06 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1049 ( 1049/3072, 5/6 ) is bound to cpu[s] 96 on host e28n06 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 105 ( 105/3072, 3/6 ) is bound to cpu[s] 88 on host e08n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1050 ( 1050/3072, 0/6 ) is bound to cpu[s] 0 on host e28n07 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1051 ( 1051/3072, 1/6 ) is bound to cpu[s] 4 on host e28n07 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1052 ( 1052/3072, 2/6 ) is bound to cpu[s] 8 on host e28n07 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1053 ( 1053/3072, 3/6 ) is bound to cpu[s] 88 on host e28n07 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1054 ( 1054/3072, 4/6 ) is bound to cpu[s] 92 on host e28n07 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1055 ( 1055/3072, 5/6 ) is bound to cpu[s] 96 on host e28n07 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
