Comparing "summit_gnu_cmake_256node_6ppn_6gpn_box-s2v96w64x1120y32z48_s2v4w32x1y1z6_bk1_cuth-pop-20200624-ht/20200716_155921/stdout.txt.xz" and "summit_gnu_gmake_256node_42ppn_0gpn_box-s2v96w64x1120y32z48_s2v4w32x7y1z6_bk0_master-202006pop-ht/20200716_102254/stdout.txt.xz"
Name                             # Calls             Time              % t_loop       % parent    
              ex_x                   380   18240      0.03     0.45      0.0     0.2   10.5  13.0
                ex_gen               380   18240      0.00     0.41      0.0     0.1    0.0  91.9
          prdi_h                     380   18240      0.25     3.25      0.1     1.2    2.0   2.0
            blex_g                   380   18240      0.25     3.24      0.1     1.2  100.0  99.7
              ex_x                   380   18240      0.03     0.54      0.0     0.2   11.3  16.6
                ex_gen               380   18240      0.00     0.47      0.0     0.2    0.0  88.1
          prg_nl                     380   18240      0.00     0.00      0.0     0.0    0.0   0.0
        add_ks                       380       0      0.30     0.00      0.2     0.0    0.6   0.0
        calcaux                      380     380     32.88    85.97     19.7    30.6   70.5  33.0
          bar_emf                    380     380      0.68     5.71      0.4     2.0    2.1   6.6
            ex_z                     380       0      0.49     0.00      0.3     0.0   71.6   0.0
            exz                        0     760      0.00     1.82      0.0     0.6    0.0  31.9
              ex_gen                   0     760      0.00     1.81      0.0     0.6    0.0  99.3
          calc_df1                   380     380     13.12    24.11      7.9     8.6   39.9  28.0
            ex_v                     380     380     10.44    10.42      6.3     3.7   79.6  43.2
              ex_gen                   0     760      0.00    10.42      0.0     3.7    0.0 100.0
            ex_z                     380       0      2.37     0.00      1.4     0.0   18.0   0.0
            exz                        0     760      0.00     7.43      0.0     2.6    0.0  30.8
              ex_gen                   0     760      0.00     6.68      0.0     2.4    0.0  89.9
          ccdens                     380     380     14.91    23.02      8.9     8.2   45.4  26.8
            calc_moments               0     380      0.00     8.11      0.0     2.9    0.0  35.2
            sum_vwsp                 380     380     14.43    14.76      8.6     5.3   96.8  64.1
          f_to_GPU                   380       0      0.11     0.00      0.1     0.0    0.3   0.0
          fldsolve                   380     380      3.43    21.69      2.1     7.7   10.4  25.2
            fldgathi                 760       0      0.14     0.00      0.1     0.0    4.1   0.0
            fldgathw                 380       0      2.40     0.00      1.4     0.0   70.1   0.0
          h_from_f                   380     380      0.62    11.44      0.4     4.1    1.9  13.3
            exz                        0     760      0.00     0.24      0.0     0.1    0.0   2.1
              ex_gen                   0     760      0.00     0.22      0.0     0.1    0.0  91.3
        eRK_stage_1                   95       0     17.82     0.00     10.7     0.0   38.2   0.0
        eRK_stage_2                   95       0      9.39     0.00      5.6     0.0   20.1   0.0
        eRK_stage_3                   95       0      9.68     0.00      5.8     0.0   20.8   0.0
        eRK_stage_4                   95       0      9.67     0.00      5.8     0.0   20.7   0.0
        f_to_GPU                     380       0      0.09     0.00      0.1     0.0    0.2   0.0
        g_to_GPU                     760       0      0.12     0.00      0.1     0.0    0.3   0.0
        h_to_GPU                     380       0      0.10     0.00      0.1     0.0    0.2   0.0
        rhs_to_GPU                   380       0      0.07     0.00      0.0     0.0    0.2   0.0
        rkupd                        285       0      0.38     0.00      0.2     0.0    0.8   0.0
      diag_exec                      100     100     34.34     5.90     20.6     2.1   20.6   2.1
        calcaux                       10      10      0.65     2.01      0.4     0.7    1.9  34.1
          bar_emf                     10      10      0.02     0.12      0.0     0.0    3.4   6.2
            ex_z                      10       0      0.02     0.00      0.0     0.0   77.3   0.0
            exz                        0      20      0.00     0.02      0.0     0.0    0.0  17.6
              ex_gen                   0      20      0.00     0.02      0.0     0.0    0.0 100.0
          calc_df1                    10      10      0.34     0.64      0.2     0.2   51.8  31.6
            ex_v                      10      10      0.27     0.27      0.2     0.1   78.9  43.1
              ex_gen                   0      20      0.00     0.27      0.0     0.1    0.0 100.0
            ex_z                      10       0      0.06     0.00      0.0     0.0   18.4   0.0
            exz                        0      20      0.00     0.20      0.0     0.1    0.0  30.8
              ex_gen                   0      20      0.00     0.18      0.0     0.1    0.0  90.3
          ccdens                      10      10      0.21     0.68      0.1     0.2   31.8  34.0
            calc_moments               0      10      0.00     0.22      0.0     0.1    0.0  32.0
            sum_vwsp                  10      10      0.19     0.46      0.1     0.2   93.7  67.4
          f_to_GPU                    10       0      0.00     0.00      0.0     0.0    0.5   0.0
          fldsolve                    10      10      0.08     0.57      0.0     0.2   12.5  28.3
            fldgathi                  20       0      0.00     0.00      0.0     0.0    3.7   0.0
            fldgathw                  10       0      0.05     0.00      0.0     0.0   66.7   0.0
        d_nrg                         10      10     33.55     3.72     20.1     1.3   97.7  63.1
          calc_moments                 0      10      0.00     0.62      0.0     0.2    0.0  16.6
      ts1                              1       1     82.43     2.73     49.4     1.0   49.4   1.0
        RK_standard                    1       1     82.43     2.73     49.4     1.0  100.0 100.0
          CalFRhs0                     4       4     40.32     1.73     24.2     0.6   48.9  63.1
            add_nl                     4     192      4.68     0.98      2.8     0.4   11.6  56.9
              calc_nl                  4     192      3.40     0.93      2.0     0.3   72.7  94.6
                mult_pre               0     192      0.00     0.02      0.0     0.0    0.0   2.6
                omultmax               0     384      0.00     0.01      0.0     0.0    0.0   1.3
            dApardt                    4     192      0.00     0.00      0.0     0.0    0.0   0.0
            dchidxy                    4     192      0.05     0.10      0.0     0.0    0.1   6.1
            dfdxy_h                    4     192      0.00     0.06      0.0     0.0    0.0   3.4
            dgdxy                      4     192     17.90     0.11     10.7     0.0   44.4   6.6
            dzv_ak                     4     192      8.69     0.23      5.2     0.1   21.6  13.6
            fdi_fld                    4     192      0.00     0.00      0.0     0.0    0.0   0.0
            fdi_g                      4     192      0.00     0.00      0.0     0.0    0.0   0.0
            fdi_h                      4     192      0.00     0.00      0.0     0.0    0.0   0.0
            ffld_nl                    4     192      0.00     0.00      0.0     0.0    0.0   0.0
            fg_nl                      4     192      0.00     0.00      0.0     0.0    0.0   0.0
            hypz_cmp                   4     192      0.01     0.08      0.0     0.0    0.0   4.5
            kBuffer                    4     192      0.00     0.02      0.0     0.0    0.0   1.1
            pfld_nl                    4     192      0.00     0.00      0.0     0.0    0.0   0.0
            pr_fld                     4       4      0.00     0.00      0.0     0.0    0.0   0.0
            pr_g                       4       4      0.00     0.00      0.0     0.0    0.0   0.0
            pr_hf                      4       4      0.00     0.00      0.0     0.0    0.0   0.0
            prdi_fld                   4     192      0.06     0.06      0.0     0.0    0.2   3.4
              ex_x                     4     192      0.00     0.01      0.0     0.0    0.0  10.2
                ex_gen                 4     192      0.00     0.01      0.0     0.0    0.0 100.0
            prdi_g                     4     192      8.85     0.04      5.3     0.0   21.9   2.3
              blex_g                   4     192      8.85     0.04      5.3     0.0  100.0 100.0
                ex_x                   4     192      0.00     0.01      0.0     0.0    0.0  12.8
                  ex_gen               4     192      0.00     0.00      0.0     0.0    0.0  80.0
            prdi_h                     4     192      0.08     0.04      0.0     0.0    0.2   2.0
              blex_g                   4     192      0.08     0.04      0.0     0.0  100.0 100.0
                ex_x                   4     192      0.00     0.01      0.0     0.0    0.0  17.1
                  ex_gen               4     192      0.00     0.01      0.0     0.0    0.0  83.3
            prg_nl                     4     192      0.00     0.00      0.0     0.0    0.0   0.0
          add_ks                       4       0      0.00     0.00      0.0     0.0    0.0   0.0
          calcaux                      4       4     33.15     0.87     19.9     0.3   40.2  31.8
            bar_emf                    4       4      0.09     0.06      0.1     0.0    0.3   7.0
              ex_z                     4       0      0.08     0.00      0.0     0.0   95.4   0.0
              exz                      0       8      0.00     0.02      0.0     0.0    0.0  31.1
                ex_gen                 0       8      0.00     0.02      0.0     0.0    0.0 100.0
            calc_df1                   4       4      0.13     0.25      0.1     0.1    0.4  29.0
              ex_v                     4       4      0.09     0.11      0.1     0.0   67.4  42.5
                ex_gen                 0       8      0.00     0.11      0.0     0.0    0.0 100.0
              ex_z                     4       0      0.04     0.00      0.0     0.0   31.1   0.0
              exz                      0       8      0.00     0.08      0.0     0.0    0.0  31.0
                ex_gen                 0       8      0.00     0.07      0.0     0.0    0.0  91.0
            ccdens                     4       4     32.18     0.21     19.3     0.1   97.1  23.7
              calc_moments             0       4      0.00     0.09      0.0     0.0    0.0  42.2
              sum_vwsp                 4       4     31.76     0.12     19.0     0.0   98.7  57.3
            f_to_GPU                   4       0      0.00     0.00      0.0     0.0    0.0   0.0
            fldsolve                   4       4      0.69     0.23      0.4     0.1    2.1  26.4
              fldgathi                 8       0      0.00     0.00      0.0     0.0    0.4   0.0
              fldgathw                 4       0      0.67     0.00      0.4     0.0   97.8   0.0
            h_from_f                   4       4      0.06     0.12      0.0     0.0    0.2  13.9
              exz                      0       8      0.00     0.00      0.0     0.0    0.0   2.5
                ex_gen                 0       8      0.00     0.00      0.0     0.0    0.0  66.7
          eRK_stage_1                  1       0      5.20     0.00      3.1     0.0    6.3   0.0
          eRK_stage_2                  1       0     49.34     0.00     29.6     0.0   59.9   0.0
          eRK_stage_3                  1       0     15.86     0.00      9.5     0.0   19.2   0.0
          eRK_stage_4                  1       0     12.03     0.00      7.2     0.0   14.6   0.0
          f_to_GPU                     4       0      0.00     0.00      0.0     0.0    0.0   0.0
          g_to_GPU                     8       0      0.00     0.00      0.0     0.0    0.0   0.0
          h_to_GPU                     4       0      0.06     0.00      0.0     0.0    0.1   0.0
          rhs_to_GPU                   4       0      0.00     0.00      0.0     0.0    0.0   0.0
          rkupd                        3       0      8.90     0.00      5.3     0.0   10.8   0.0
      ts2to5                           4       4      2.80    11.01      1.7     3.9    1.7   3.9
        RK_standard                    4       4      2.80    11.01      1.7     3.9  100.0 100.0
          CalFRhs0                    16      16      1.14     6.83      0.7     2.4   40.6  62.0
            add_nl                    16     768      0.83     3.90      0.5     1.4   73.2  57.1
              calc_nl                 16     768      0.33     3.73      0.2     1.3   39.3  95.8
                mult_pre               0     768      0.00     0.10      0.0     0.0    0.0   2.7
                omultmax               0    1536      0.00     0.05      0.0     0.0    0.0   1.4
            dApardt                   16     768      0.00     0.00      0.0     0.0    0.0   0.0
            dchidxy                   16     768      0.04     0.42      0.0     0.2    3.2   6.2
            dfdxy_h                   16     768      0.01     0.23      0.0     0.1    1.1   3.4
            dgdxy                     16     768      0.04     0.46      0.0     0.2    3.2   6.7
            dzv_ak                    16     768      0.03     0.90      0.0     0.3    2.5  13.2
            fdi_fld                   16     768      0.00     0.00      0.0     0.0    0.0   0.0
            fdi_g                     16     768      0.00     0.00      0.0     0.0    0.0   0.0
            fdi_h                     16     768      0.00     0.00      0.0     0.0    0.0   0.0
            ffld_nl                   16     768      0.00     0.00      0.0     0.0    0.0   0.0
            fg_nl                     16     768      0.00     0.00      0.0     0.0    0.0   0.0
            hypz_cmp                  16     768      0.01     0.31      0.0     0.1    1.1   4.6
            kBuffer                   16     768      0.01     0.08      0.0     0.0    1.1   1.1
            pfld_nl                   16     768      0.00     0.00      0.0     0.0    0.0   0.0
            pr_fld                    16      16      0.00     0.00      0.0     0.0    0.0   0.0
            pr_g                      16      16      0.00     0.00      0.0     0.0    0.0   0.0
            pr_hf                     16      16      0.00     0.00      0.0     0.0    0.0   0.0
            prdi_fld                  16     768      0.01     0.23      0.0     0.1    1.1   3.3
              ex_x                    16     768      0.00     0.03      0.0     0.0    0.0  11.1
                ex_gen                16     768      0.00     0.02      0.0     0.0    0.0  92.0
            prdi_g                    16     768      0.15     0.15      0.1     0.1   13.0   2.2
              blex_g                  16     768      0.15     0.15      0.1     0.1  100.0  99.3
                ex_x                  16     768      0.14     0.02      0.1     0.0   92.6  14.5
                  ex_gen              16     768      0.00     0.02      0.0     0.0    0.0  90.9
            prdi_h                    16     768      0.01     0.14      0.0     0.0    1.1   2.1
              blex_g                  16     768      0.01     0.14      0.0     0.0  100.0  99.3
                ex_x                  16     768      0.00     0.02      0.0     0.0    0.0  15.8
                  ex_gen              16     768      0.00     0.02      0.0     0.0    0.0  86.4
            prg_nl                    16     768      0.00     0.00      0.0     0.0    0.0   0.0
          add_ks                      16       0      0.01     0.00      0.0     0.0    0.4   0.0
          calcaux                     16      16      1.62     3.65      1.0     1.3   57.7  33.1
            bar_emf                   16      16      0.07     0.24      0.0     0.1    4.4   6.5
              ex_z                    16       0      0.06     0.00      0.0     0.0   88.7   0.0
              exz                      0      32      0.00     0.07      0.0     0.0    0.0  30.5
                ex_gen                 0      32      0.00     0.07      0.0     0.0    0.0  98.6
            calc_df1                  16      16      0.53     1.02      0.3     0.4   32.5  27.9
              ex_v                    16      16      0.41     0.44      0.2     0.2   78.7  43.1
                ex_gen                 0      32      0.00     0.44      0.0     0.2    0.0 100.0
              ex_z                    16       0      0.10     0.00      0.1     0.0   18.8   0.0
              exz                      0      32      0.00     0.32      0.0     0.1    0.0  31.0
                ex_gen                 0      32      0.00     0.28      0.0     0.1    0.0  90.2
            ccdens                    16      16      0.86     1.00      0.5     0.4   53.1  27.4
              calc_moments             0      16      0.00     0.34      0.0     0.1    0.0  34.5
              sum_vwsp                16      16      0.84     0.65      0.5     0.2   97.7  64.9
            f_to_GPU                  16       0      0.00     0.00      0.0     0.0    0.2   0.0
            fldsolve                  16      16      0.13     0.91      0.1     0.3    8.0  25.0
              fldgathi                32       0      0.00     0.00      0.0     0.0    3.1   0.0
              fldgathw                16       0      0.09     0.00      0.1     0.0   66.9   0.0
            h_from_f                  16      16      0.02     0.48      0.0     0.2    1.5  13.3
              exz                      0      32      0.00     0.01      0.0     0.0    0.0   2.3
                ex_gen                 0      32      0.00     0.01      0.0     0.0    0.0 100.0
          eRK_stage_1                  4       0      1.41     0.00      0.8     0.0   50.5   0.0
          eRK_stage_2                  4       0      0.47     0.00      0.3     0.0   16.6   0.0
          eRK_stage_3                  4       0      0.53     0.00      0.3     0.0   18.9   0.0
          eRK_stage_4                  4       0      0.39     0.00      0.2     0.0   13.9   0.0
          f_to_GPU                    16       0      0.00     0.00      0.0     0.0    0.1   0.0
          g_to_GPU                    32       0      0.00     0.00      0.0     0.0    0.1   0.0
          h_to_GPU                    16       0      0.00     0.00      0.0     0.0    0.1   0.0
          rhs_to_GPU                  16       0      0.00     0.00      0.0     0.0    0.1   0.0
          rkupd                       12       0      0.01     0.00      0.0     0.0    0.5   0.0
    timeloop                           1       1    166.92   280.57    100.0   100.0   18.9  15.5
Comparing:  cuth-pop-20200624-ht:256 master-202006pop-ht:256
== ts1   ==
           : 4-ht:256       p-ht:256
ts_avg     :    1.669    2.806 (0.6)
RK_standard:   82.431    2.735 (30.1)
CalFRhs0   :   40.316    1.727 (23.3)
calcaux    :   33.149    0.869 (38.1)

== ts2to5 ==
           : 4-ht:256       p-ht:256
ts_avg     :    1.669    2.806 (0.6)
RK_standard:    2.801   11.006 (0.3)
CalFRhs0   :    1.138    6.826 (0.2)
calcaux    :    1.617    3.646 (0.4)

== ts6+  ==
           : 4-ht:256       p-ht:256
ts_avg     :    1.669    2.806 (0.6)
RK_standard:   46.635  260.888 (0.2)
CalFRhs0   :   12.688  162.140 (0.1)
calcaux    :   32.876   85.966 (0.4)
