Comparing "summit_gnu_cmake_512node_6ppn_6gpn_box-s2v96w128x1120y32z48_s2v4w64x1y1z6_bk1_cuth-pop-20200624-ht2/20200803_161319/stdout.txt.xz" and "summit_gnu_gmake_512node_42ppn_0gpn_box-s2v96w128x1120y32z48_s2v4w64x7y1z6_bk0_master-202006pop-ht2/20200803_160710/stdout.txt.xz"
Name                             # Calls             Time              % t_loop       % parent    
              ex_gen                 380   18240      0.00     1.16      0.0     0.4    0.0  99.0
          prdi_g                     380   18240      0.24     3.30      0.3     1.2    1.8   2.0
            blex_g                   380   18240      0.24     3.29      0.3     1.1  100.0  99.6
              ex_x                   380   18240      0.02     0.84      0.0     0.3   10.2  25.7
                ex_gen               380   18240      0.00     0.84      0.0     0.3    0.0  99.1
          prdi_h                     380   18240      0.25     3.34      0.3     1.2    1.9   2.0
            blex_g                   380   18240      0.25     3.33      0.3     1.2  100.0  99.7
              ex_x                   380   18240      0.03     0.89      0.0     0.3   11.3  26.6
                ex_gen               380   18240      0.00     0.88      0.0     0.3    0.0  98.8
          prg_nl                     380   18240      0.00     0.00      0.0     0.0    0.0   0.0
        add_ks                       380       0      0.30     0.00      0.4     0.0    0.7   0.0
        calcaux                      380     380     29.10    86.41     38.7    30.1   67.7  32.7
          bar_emf                    380     380      0.69     6.03      0.9     2.1    2.4   7.0
            ex_z                     380       0      0.50     0.00      0.7     0.0   73.0   0.0
            exz                        0     760      0.00     2.19      0.0     0.8    0.0  36.4
              ex_gen                   0     760      0.00     2.18      0.0     0.8    0.0  99.5
          calc_df1                   380     380     12.98    23.92     17.2     8.3   44.6  27.7
            ex_v                     380     380     10.72    10.04     14.2     3.5   82.6  42.0
              ex_gen                   0     760      0.00    10.04      0.0     3.5    0.0 100.0
            ex_z                     760       0      1.95     0.00      2.6     0.0   15.0   0.0
            exz                        0     760      0.00     7.55      0.0     2.6    0.0  31.6
              ex_gen                   0     760      0.00     6.85      0.0     2.4    0.0  90.6
          ccdens                     380     380     11.43    23.35     15.2     8.1   39.3  27.0
            calc_moments               0     380      0.00     8.04      0.0     2.8    0.0  34.4
            sum_vwsp                 380     380     10.94    15.17     14.5     5.3   95.7  65.0
          f_to_GPU                   380       0      0.10     0.00      0.1     0.0    0.3   0.0
          fldsolve                   380     380      3.29    21.86      4.4     7.6   11.3  25.3
            fldgathi                 760       0      0.14     0.00      0.2     0.0    4.1   0.0
            fldgathw                 380       0      2.26     0.00      3.0     0.0   68.8   0.0
          h_from_f                   380     380      0.61    11.25      0.8     3.9    2.1  13.0
            exz                        0     760      0.00     0.17      0.0     0.1    0.0   1.5
              ex_gen                   0     760      0.00     0.15      0.0     0.1    0.0  88.4
        eRK_stage_1                   95       0     13.98     0.00     18.6     0.0   32.5   0.0
        eRK_stage_2                   95       0      9.25     0.00     12.3     0.0   21.5   0.0
        eRK_stage_3                   95       0      9.86     0.00     13.1     0.0   22.9   0.0
        eRK_stage_4                   95       0      9.83     0.00     13.1     0.0   22.9   0.0
        f_to_GPU                     380       0      0.09     0.00      0.1     0.0    0.2   0.0
        g_to_GPU                     760       0      0.11     0.00      0.2     0.0    0.3   0.0
        h_to_GPU                     380       0      0.10     0.00      0.1     0.0    0.2   0.0
        rhs_to_GPU                   380       0      0.06     0.00      0.1     0.0    0.1   0.0
