Task 15 ( 15/768, 3/6 ) is bound to cpu[s] 88 on host a13n08 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 150 ( 150/768, 0/6 ) is bound to cpu[s] 0 on host a14n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 151 ( 151/768, 1/6 ) is bound to cpu[s] 4 on host a14n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 152 ( 152/768, 2/6 ) is bound to cpu[s] 8 on host a14n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 153 ( 153/768, 3/6 ) is bound to cpu[s] 88 on host a14n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 154 ( 154/768, 4/6 ) is bound to cpu[s] 92 on host a14n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 155 ( 155/768, 5/6 ) is bound to cpu[s] 96 on host a14n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 156 ( 156/768, 0/6 ) is bound to cpu[s] 0 on host a14n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 157 ( 157/768, 1/6 ) is bound to cpu[s] 4 on host a14n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 158 ( 158/768, 2/6 ) is bound to cpu[s] 8 on host a14n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 159 ( 159/768, 3/6 ) is bound to cpu[s] 88 on host a14n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 16 ( 16/768, 4/6 ) is bound to cpu[s] 92 on host a13n08 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 160 ( 160/768, 4/6 ) is bound to cpu[s] 92 on host a14n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 161 ( 161/768, 5/6 ) is bound to cpu[s] 96 on host a14n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 162 ( 162/768, 0/6 ) is bound to cpu[s] 0 on host a14n16 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 163 ( 163/768, 1/6 ) is bound to cpu[s] 4 on host a14n16 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 164 ( 164/768, 2/6 ) is bound to cpu[s] 8 on host a14n16 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 165 ( 165/768, 3/6 ) is bound to cpu[s] 88 on host a14n16 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 166 ( 166/768, 4/6 ) is bound to cpu[s] 92 on host a14n16 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 167 ( 167/768, 5/6 ) is bound to cpu[s] 96 on host a14n16 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 168 ( 168/768, 0/6 ) is bound to cpu[s] 0 on host a14n17 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 169 ( 169/768, 1/6 ) is bound to cpu[s] 4 on host a14n17 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 17 ( 17/768, 5/6 ) is bound to cpu[s] 96 on host a13n08 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 170 ( 170/768, 2/6 ) is bound to cpu[s] 8 on host a14n17 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 171 ( 171/768, 3/6 ) is bound to cpu[s] 88 on host a14n17 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 172 ( 172/768, 4/6 ) is bound to cpu[s] 92 on host a14n17 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 173 ( 173/768, 5/6 ) is bound to cpu[s] 96 on host a14n17 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 174 ( 174/768, 0/6 ) is bound to cpu[s] 0 on host a14n18 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 175 ( 175/768, 1/6 ) is bound to cpu[s] 4 on host a14n18 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 176 ( 176/768, 2/6 ) is bound to cpu[s] 8 on host a14n18 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 177 ( 177/768, 3/6 ) is bound to cpu[s] 88 on host a14n18 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 178 ( 178/768, 4/6 ) is bound to cpu[s] 92 on host a14n18 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 179 ( 179/768, 5/6 ) is bound to cpu[s] 96 on host a14n18 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 18 ( 18/768, 0/6 ) is bound to cpu[s] 0 on host a13n09 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 180 ( 180/768, 0/6 ) is bound to cpu[s] 0 on host a15n01 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 181 ( 181/768, 1/6 ) is bound to cpu[s] 4 on host a15n01 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 182 ( 182/768, 2/6 ) is bound to cpu[s] 8 on host a15n01 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 183 ( 183/768, 3/6 ) is bound to cpu[s] 88 on host a15n01 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 184 ( 184/768, 4/6 ) is bound to cpu[s] 92 on host a15n01 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 185 ( 185/768, 5/6 ) is bound to cpu[s] 96 on host a15n01 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 186 ( 186/768, 0/6 ) is bound to cpu[s] 0 on host a15n02 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 187 ( 187/768, 1/6 ) is bound to cpu[s] 4 on host a15n02 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 188 ( 188/768, 2/6 ) is bound to cpu[s] 8 on host a15n02 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 189 ( 189/768, 3/6 ) is bound to cpu[s] 88 on host a15n02 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 19 ( 19/768, 1/6 ) is bound to cpu[s] 4 on host a13n09 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 190 ( 190/768, 4/6 ) is bound to cpu[s] 92 on host a15n02 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 191 ( 191/768, 5/6 ) is bound to cpu[s] 96 on host a15n02 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 192 ( 192/768, 0/6 ) is bound to cpu[s] 0 on host a15n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 193 ( 193/768, 1/6 ) is bound to cpu[s] 4 on host a15n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 194 ( 194/768, 2/6 ) is bound to cpu[s] 8 on host a15n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 195 ( 195/768, 3/6 ) is bound to cpu[s] 88 on host a15n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 196 ( 196/768, 4/6 ) is bound to cpu[s] 92 on host a15n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 197 ( 197/768, 5/6 ) is bound to cpu[s] 96 on host a15n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 198 ( 198/768, 0/6 ) is bound to cpu[s] 0 on host a15n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 199 ( 199/768, 1/6 ) is bound to cpu[s] 4 on host a15n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 2 ( 2/768, 2/6 ) is bound to cpu[s] 8 on host a13n06 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 20 ( 20/768, 2/6 ) is bound to cpu[s] 8 on host a13n09 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 200 ( 200/768, 2/6 ) is bound to cpu[s] 8 on host a15n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 201 ( 201/768, 3/6 ) is bound to cpu[s] 88 on host a15n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 202 ( 202/768, 4/6 ) is bound to cpu[s] 92 on host a15n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 203 ( 203/768, 5/6 ) is bound to cpu[s] 96 on host a15n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 204 ( 204/768, 0/6 ) is bound to cpu[s] 0 on host a15n05 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 205 ( 205/768, 1/6 ) is bound to cpu[s] 4 on host a15n05 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 206 ( 206/768, 2/6 ) is bound to cpu[s] 8 on host a15n05 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 207 ( 207/768, 3/6 ) is bound to cpu[s] 88 on host a15n05 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 208 ( 208/768, 4/6 ) is bound to cpu[s] 92 on host a15n05 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 209 ( 209/768, 5/6 ) is bound to cpu[s] 96 on host a15n05 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 21 ( 21/768, 3/6 ) is bound to cpu[s] 88 on host a13n09 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
