Task 142 ( 142/384, 4/6 ) is bound to cpu[s] 92 on host c09n01 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 143 ( 143/384, 5/6 ) is bound to cpu[s] 96 on host c09n01 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 144 ( 144/384, 0/6 ) is bound to cpu[s] 0 on host c09n02 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 145 ( 145/384, 1/6 ) is bound to cpu[s] 4 on host c09n02 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 146 ( 146/384, 2/6 ) is bound to cpu[s] 8 on host c09n02 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 147 ( 147/384, 3/6 ) is bound to cpu[s] 88 on host c09n02 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 148 ( 148/384, 4/6 ) is bound to cpu[s] 92 on host c09n02 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 149 ( 149/384, 5/6 ) is bound to cpu[s] 96 on host c09n02 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 15 ( 15/384, 3/6 ) is bound to cpu[s] 88 on host c06n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 150 ( 150/384, 0/6 ) is bound to cpu[s] 0 on host c09n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 151 ( 151/384, 1/6 ) is bound to cpu[s] 4 on host c09n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 152 ( 152/384, 2/6 ) is bound to cpu[s] 8 on host c09n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 153 ( 153/384, 3/6 ) is bound to cpu[s] 88 on host c09n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 154 ( 154/384, 4/6 ) is bound to cpu[s] 92 on host c09n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 155 ( 155/384, 5/6 ) is bound to cpu[s] 96 on host c09n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 156 ( 156/384, 0/6 ) is bound to cpu[s] 0 on host c09n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 157 ( 157/384, 1/6 ) is bound to cpu[s] 4 on host c09n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 158 ( 158/384, 2/6 ) is bound to cpu[s] 8 on host c09n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 159 ( 159/384, 3/6 ) is bound to cpu[s] 88 on host c09n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 16 ( 16/384, 4/6 ) is bound to cpu[s] 92 on host c06n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 160 ( 160/384, 4/6 ) is bound to cpu[s] 92 on host c09n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 161 ( 161/384, 5/6 ) is bound to cpu[s] 96 on host c09n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 162 ( 162/384, 0/6 ) is bound to cpu[s] 0 on host c09n05 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 163 ( 163/384, 1/6 ) is bound to cpu[s] 4 on host c09n05 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 164 ( 164/384, 2/6 ) is bound to cpu[s] 8 on host c09n05 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 165 ( 165/384, 3/6 ) is bound to cpu[s] 88 on host c09n05 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 166 ( 166/384, 4/6 ) is bound to cpu[s] 92 on host c09n05 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 167 ( 167/384, 5/6 ) is bound to cpu[s] 96 on host c09n05 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 168 ( 168/384, 0/6 ) is bound to cpu[s] 0 on host d10n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 169 ( 169/384, 1/6 ) is bound to cpu[s] 4 on host d10n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 17 ( 17/384, 5/6 ) is bound to cpu[s] 96 on host c06n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 170 ( 170/384, 2/6 ) is bound to cpu[s] 8 on host d10n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 171 ( 171/384, 3/6 ) is bound to cpu[s] 88 on host d10n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 172 ( 172/384, 4/6 ) is bound to cpu[s] 92 on host d10n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 173 ( 173/384, 5/6 ) is bound to cpu[s] 96 on host d10n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 174 ( 174/384, 0/6 ) is bound to cpu[s] 0 on host d10n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 175 ( 175/384, 1/6 ) is bound to cpu[s] 4 on host d10n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 176 ( 176/384, 2/6 ) is bound to cpu[s] 8 on host d10n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 177 ( 177/384, 3/6 ) is bound to cpu[s] 88 on host d10n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 178 ( 178/384, 4/6 ) is bound to cpu[s] 92 on host d10n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 179 ( 179/384, 5/6 ) is bound to cpu[s] 96 on host d10n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 18 ( 18/384, 0/6 ) is bound to cpu[s] 0 on host c06n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 180 ( 180/384, 0/6 ) is bound to cpu[s] 0 on host e26n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 181 ( 181/384, 1/6 ) is bound to cpu[s] 4 on host e26n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 182 ( 182/384, 2/6 ) is bound to cpu[s] 8 on host e26n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 183 ( 183/384, 3/6 ) is bound to cpu[s] 88 on host e26n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 184 ( 184/384, 4/6 ) is bound to cpu[s] 92 on host e26n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 185 ( 185/384, 5/6 ) is bound to cpu[s] 96 on host e26n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 186 ( 186/384, 0/6 ) is bound to cpu[s] 0 on host e26n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 187 ( 187/384, 1/6 ) is bound to cpu[s] 4 on host e26n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 188 ( 188/384, 2/6 ) is bound to cpu[s] 8 on host e26n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 189 ( 189/384, 3/6 ) is bound to cpu[s] 88 on host e26n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 19 ( 19/384, 1/6 ) is bound to cpu[s] 4 on host c06n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 190 ( 190/384, 4/6 ) is bound to cpu[s] 92 on host e26n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 191 ( 191/384, 5/6 ) is bound to cpu[s] 96 on host e26n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 192 ( 192/384, 0/6 ) is bound to cpu[s] 0 on host e27n17 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 193 ( 193/384, 1/6 ) is bound to cpu[s] 4 on host e27n17 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 194 ( 194/384, 2/6 ) is bound to cpu[s] 8 on host e27n17 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 195 ( 195/384, 3/6 ) is bound to cpu[s] 88 on host e27n17 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 196 ( 196/384, 4/6 ) is bound to cpu[s] 92 on host e27n17 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 197 ( 197/384, 5/6 ) is bound to cpu[s] 96 on host e27n17 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 198 ( 198/384, 0/6 ) is bound to cpu[s] 0 on host e27n18 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 199 ( 199/384, 1/6 ) is bound to cpu[s] 4 on host e27n18 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 2 ( 2/384, 2/6 ) is bound to cpu[s] 8 on host b31n05 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 20 ( 20/384, 2/6 ) is bound to cpu[s] 8 on host c06n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 200 ( 200/384, 2/6 ) is bound to cpu[s] 8 on host e27n18 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 201 ( 201/384, 3/6 ) is bound to cpu[s] 88 on host e27n18 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 202 ( 202/384, 4/6 ) is bound to cpu[s] 92 on host e27n18 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 203 ( 203/384, 5/6 ) is bound to cpu[s] 96 on host e27n18 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 204 ( 204/384, 0/6 ) is bound to cpu[s] 0 on host e28n01 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 205 ( 205/384, 1/6 ) is bound to cpu[s] 4 on host e28n01 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 206 ( 206/384, 2/6 ) is bound to cpu[s] 8 on host e28n01 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 207 ( 207/384, 3/6 ) is bound to cpu[s] 88 on host e28n01 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 208 ( 208/384, 4/6 ) is bound to cpu[s] 92 on host e28n01 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 209 ( 209/384, 5/6 ) is bound to cpu[s] 96 on host e28n01 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 21 ( 21/384, 3/6 ) is bound to cpu[s] 88 on host c06n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 210 ( 210/384, 0/6 ) is bound to cpu[s] 0 on host e28n02 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 211 ( 211/384, 1/6 ) is bound to cpu[s] 4 on host e28n02 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 212 ( 212/384, 2/6 ) is bound to cpu[s] 8 on host e28n02 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 213 ( 213/384, 3/6 ) is bound to cpu[s] 88 on host e28n02 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 214 ( 214/384, 4/6 ) is bound to cpu[s] 92 on host e28n02 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 215 ( 215/384, 5/6 ) is bound to cpu[s] 96 on host e28n02 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
